Timestamp,压力值,Pressure Newton,Smoothed Newton
2025-03-23 19:32:49.066,5.0,0.013714538310412572,0.019247961289560467
2025-03-23 19:32:49.100,8.0,0.022008118226600985,0.019801955013620823
2025-03-23 19:32:49.133,5.0,0.013714538310412572,0.01814323903038314
2025-03-23 19:32:49.166,5.0,0.013714538310412572,0.015373254293650256
2025-03-23 19:32:49.200,8.0,0.022008118226600985,0.017031970276887937
2025-03-23 19:32:49.233,5.0,0.013714538310412572,0.017031970276887937
2025-03-23 19:32:49.266,5.0,0.013714538310412572,0.015373254293650256
2025-03-23 19:32:49.300,7.0,0.019238149606299212,0.016477976552827584
2025-03-23 19:32:49.333,5.0,0.013714538310412572,0.016477976552827584
2025-03-23 19:32:49.366,5.0,0.013714538310412572,0.014819260569589902
2025-03-23 19:32:49.400,7.0,0.019238149606299212,0.01592398282876723
2025-03-23 19:32:49.433,5.0,0.013714538310412572,0.01592398282876723
2025-03-23 19:32:49.466,13.0,0.035940237623762375,0.01926440043225986
2025-03-23 19:32:49.500,8.0,0.022008118226600985,0.020923116415497545
2025-03-23 19:32:49.533,5.0,0.013714538310412572,0.020923116415497545
2025-03-23 19:32:49.566,6.0,0.01647362831858407,0.020370212157954516
2025-03-23 19:32:49.600,8.0,0.022008118226600985,0.022028928141192197
2025-03-23 19:32:49.633,8.0,0.022008118226600985,0.01924250426175992
2025-03-23 19:32:49.666,11.0,0.030350869565217393,0.020911054529483202
2025-03-23 19:32:49.700,29.0,0.08146490945674044,0.03446112875874878
2025-03-23 19:32:49.733,23.0,0.06422243999999999,0.04401089109503196
2025-03-23 19:32:49.766,30.0,0.08435891238670695,0.056481049927053155
2025-03-23 19:32:49.800,20.0,0.05567856430707876,0.0632151391431487
2025-03-23 19:32:49.833,48.0,0.1374660923076923,0.08463818369164369
2025-03-23 19:32:49.866,70.0,0.20509926547743965,0.10936505489578353
2025-03-23 19:32:49.900,87.0,0.25953884615384615,0.14842833612655276
2025-03-23 19:32:49.933,95.0,0.2858476293103448,0.18872607951128034
2025-03-23 19:32:49.966,109.0,0.33299619256017504,0.24418960516189958
2025-03-23 19:32:50.000,128.0,0.3993428379888268,0.29656495429812646
2025-03-23 19:32:50.033,170.0,0.5564919109026963,0.3668434833831779
2025-03-23 19:32:50.066,165.0,0.5369769230769231,0.42233109876779323
2025-03-23 19:32:50.100,181.0,0.6002407125890736,0.48520971542353897
2025-03-23 19:32:50.133,169.0,0.5525706323185011,0.5291246033752042
